Customer ID,Title,First Name,Middle Name,Last Name,Suffix,Street Address1,Street Address2,City-ZipCode-State,Birth Date,Education Level,Occupation,Gender,Marital Status,Home Owner Status,Number of Cars Owned,Number of Children At Home,Total Number of Children,Annual Income,Avg Monthly Spend,eBook Subscriber Flag
11077,,Leah,,Ye,,1291 Arguello Blvd.,,Jacksonville-32099-Florida,9/19/57,High School,Professional,F,S,0,2,0,2,108728,55,0
11078,,Gina,E,Martin,,1349 Sol St.,,San Jose-95101-California,1/10/74,High School,Professional,F,S,0,2,0,0,49084,48,1
11079,,Donald,,Gonzalez,,4236 Malibu Place,,Houston-77001-Texas,3/11/59,Graduate Degree,Management,M,S,1,2,0,0,172444,87,0
11080,,Damien,,Chander,,9941 Stonehedge Dr.,,Washington-20001-DC,7/17/59,Graduate Degree,Management,M,M,1,2,0,0,181590,92,1
11081,,Savannah,C,Baker,,1210 Trafalgar Circle,,Miami-33101-Florida,7/24/66,Bachelors,Management,F,M,1,3,2,2,148109,76,0
11082,,Angela,L,Butler,,6040 Listing Ct,,Fort Worth-76101-Texas,8/4/66,Graduate Degree,Management,F,S,0,3,1,1,149717,62,1
11083,,Alyssa,F,Cox,,867 La Orinda Place,,El Paso-79901-Texas,3/15/66,Graduate Degree,Management,F,M,1,3,1,1,163913,68,1
11085,,Emily,,Johnson,,7926 Stephanie Way,,Kansas City-64101-Missouri,7/19/57,High School,Professional,F,S,0,2,0,2,66900,47,0
11086,,Ryan,,Brown,,2939 Wesley Ct.,,Nashville-37201-Tennessee,12/23/57,Partial College,Professional,M,M,1,0,1,2,97834,98,0
11088,,Hunter,,Davis,,4308 Sand Pointe Lane,,Baltimore-21201-Maryland,11/25/57,Bachelors,Management,M,M,1,0,1,2,129910,104,0
11089,,Abigail,M,Price,,2685 Blackburn Ct,,Fort Worth-76101-Texas,2/5/57,Bachelors,Management,F,S,1,1,1,2,91729,57,1
11090,,Trevor,,Bryant,,5781 Sharon Dr.,,Mesa-85201-Arizona,12/17/57,Partial College,Professional,M,S,1,1,0,2,113883,76,0
11091,,Dalton,,Perez,,6083 San Jose,,Oklahoma City-73101-Oklahoma,4/4/57,Partial College,Professional,M,M,1,1,0,2,112820,82,0
11093,,Aimee,A,He,,1833 Olympic Drive,,Lincoln-68501-Nebraska,9/10/67,Graduate Degree,Management,F,M,1,0,0,0,106839,58,0
11094,,Cedric,W,Ma,,3407 Oak Brook Place,,Raleigh-27601-North Carolina,4/1/62,Partial College,Skilled Manual,M,S,0,1,0,1,88887,78,1
11095,,Chad,,Kumar,,1681 Lighthouse Way,,Oakland-94601-California,9/1/62,Partial College,Skilled Manual,M,S,1,1,0,1,108740,77,0
11096,,Andrés,,Anand,,5423 Los Gatos Ct.,,Anchorage-99501-Alaska,8/10/62,Bachelors,Professional,M,M,1,1,0,1,106971,87,1
11097,,Edwin,R,Nara,,719 William Way,,Newark-7101-New Jersey,10/27/61,Partial College,Skilled Manual,M,M,1,1,0,1,98519,80,0
11098,,Mallory,S,Rubio,,6452 Harris Circle,,Lexington-40502-Kentucky,5/1/61,Partial College,Skilled Manual,F,S,0,1,0,1,82707,54,0
11099,,Adam,,Ross,,4378 Westminster Place,,Denver-80201-Colorado,3/8/61,Bachelors,Professional,M,M,1,1,0,1,103866,83,1
11100,,Latasha,L,Navarro,,6954 Ranch Road,,Chula Vista-91910-California,9/15/60,Partial College,Skilled Manual,F,S,1,1,0,1,66520,46,0
11101,,Abby,L,Sai,,7074 N. Spoonwood Court,,Virginia Beach-23450-Virginia,5/8/65,Bachelors,Professional,F,S,0,1,0,0,75270,47,1
11102,,Julia,L,Nelson,,2196 Coat Ct.,,Irvine-92602-California,4/21/65,Bachelors,Professional,F,S,1,4,5,5,95167,89,1
11103,,Cassie,,Chande,,9448 San Marino Ct.,,San Diego-92101-California,10/17/64,Bachelors,Professional,F,S,1,1,0,0,85087,49,0
11104,,Edgar,A,Sara,,6127 Lilly Lane,,Newark-7101-New Jersey,3/11/64,Bachelors,Professional,M,M,0,1,0,0,102445,85,0
11105,,Candace,,Fernandez,,5029 Blue Ridge,,Cleveland-44101-Ohio,12/28/64,Bachelors,Professional,F,S,0,1,0,0,88445,52,0
11106,,Jessie,,Liu,,3063 Blue Jay Drive,,Oklahoma City-73101-Oklahoma,9/11/64,Bachelors,Professional,M,S,0,1,0,0,97782,74,1
11107,,Bianca,,Lin,,7530 Eola,,Greensboro-27401-North Carolina,9/9/59,Bachelors,Professional,F,M,1,1,0,1,117317,54,1
11109,,Ruben,D,Kapoor,,1984 Glendale Circle,,Atlanta-30301-Georgia,11/5/63,Bachelors,Professional,M,S,0,2,0,0,106891,79,1
11110,,Curtis,,Yang,,4052 Mt. Wilson Way,,Louisville-40201-Kentucky,6/6/62,Partial College,Skilled Manual,M,M,1,1,0,1,77012,74,1
11111,,Meredith,T,Gutierrez,,7610 Northridge Ct.,,Phoenix-85001-Arizona,2/23/62,Partial College,Skilled Manual,F,M,1,1,0,1,62702,56,1
11112,,Crystal,C,Wang,,2773 Kirkwood Dr,,Las Vegas-89101-Nevada,9/9/62,Partial College,Skilled Manual,F,M,1,1,0,1,73151,51,0
11113,,Micheal,A,Blanco,,596 Marfargoa Drive,,Corpus Christi-78401-Texas,2/21/62,Bachelors,Professional,M,M,1,2,4,5,104220,142,1
16475,,Kurt,L,Anand,,Heiderweg 4983,,Albuquerque-87101-New Mexico,12/13/73,Partial High School,Manual,M,S,0,2,0,0,18709,61,0
11115,,Alvin,D,Cai,,7759 Azalea Avenue,,Long Beach-90801-California,2/12/62,Partial College,Skilled Manual,M,M,1,2,4,5,93330,141,1
11116,,Clinton,E,Carlson,,7943 Cunha Ct.,,Houston-77001-Texas,10/7/62,Partial College,Skilled Manual,M,M,1,2,4,5,86770,140,1
11117,,April,,Deng,,485 Ash Lane,,Tucson-85701-Arizona,2/21/61,Partial College,Skilled Manual,F,M,1,3,4,5,73276,84,1
11119,,Evan,V,James,,4157 Sierra Ridge,,Indianapolis-46201-Indiana,4/10/35,Partial College,Clerical,M,S,0,2,0,2,51078,58,0
11120,,Beth,H,Jiménez,,7401 Las Palmas,,Albuquerque-87101-New Mexico,8/9/36,Bachelors,Management,F,S,1,1,0,2,52280,37,0
11122,,Byron,,Vazquez,,3187 Hackamore Lane,,Cleveland-44101-Ohio,4/2/60,Partial College,Skilled Manual,M,M,1,3,4,5,88615,143,0
11123,,Philip,A,Alvarez,,2775 Mt. Olivet Pl.,,Bakersfield-93301-California,6/20/60,Partial College,Skilled Manual,M,M,1,3,4,5,102114,140,1
11124,,Ross,F,Jordan,,6973 Dublin Court,,Pittsburgh-15201-Pennsylvania,7/27/57,Partial College,Skilled Manual,M,S,1,1,0,1,106875,80,1
11125,,Dana,J,Navarro,,8481 Zartop Street,,Plano-75023-Texas,4/8/56,Partial College,Skilled Manual,F,S,1,1,0,1,65730,46,0
11126,,Shaun,,Carson,,57 Wolf Way,,Chicago-60601-Illinois,4/7/49,High School,Skilled Manual,M,M,0,2,1,2,32857,75,0
11127,,Jan,,Edwards,,9409 The Alameda,,Detroit-48201-Michigan,10/21/75,High School,Skilled Manual,F,M,1,1,0,0,46078,46,0
11129,,Julia,M,Wright,,7397 Central Blvd.,,Seattle-98101-Washington,8/5/75,High School,Skilled Manual,F,S,1,1,0,0,32122,37,0
11130,,Caroline,L,Russell,,3884 Bates Court,,Toledo-43601-Ohio,1/6/80,High School,Skilled Manual,F,M,1,2,0,0,34879,48,0
11131,,Amanda,,Rivera,,9573 Royal Oak Rd.,,Oakland-94601-California,3/12/80,High School,Skilled Manual,F,M,0,2,0,0,39266,44,0
11132,,Melissa,E,Richardson,,6832 Fruitwood Dr,,Wichita-67201-Kansas,10/26/80,High School,Skilled Manual,F,S,0,2,0,0,44139,40,0
11133,,Angela,,Griffin,,3828 Baltic Sea Ct,,Atlanta-30301-Georgia,9/8/80,Partial High School,Clerical,F,S,0,2,0,0,37010,34,0
11134,,Larry,D,Townsend,,7034 Carson,,New Orleans-70112-Louisiana,2/26/46,High School,Skilled Manual,M,S,1,2,0,5,26209,64,1
11135,,Marcus,L,Harris,,9068 Quiet Place Drive,,Boston-2101-Massachusetts,11/3/79,Partial High School,Clerical,M,S,0,2,0,0,64613,63,0
11136,,Brianna,D,Morgan,,9005 Eagle Ct.,,El Paso-79901-Texas,10/26/78,High School,Skilled Manual,F,S,0,2,0,0,38527,46,0
11137,,Jasmine,A,Taylor,,2457 Matterhorn Court,,Colorado Springs-80901-Colorado,7/20/78,High School,Skilled Manual,F,M,1,2,0,0,42811,47,0
11138,,Lauren,,Davis,,8105 Pembrook Court,,Fort Wayne-46801-Indiana,9/15/78,High School,Skilled Manual,F,M,0,2,0,0,48772,45,0
11139,,Tanya,,Moreno,,6155 Wilbur Drive,,Durham-27701-North Carolina,11/9/38,Partial College,Clerical,F,S,0,2,0,2,27610,39,0
11140,,Javier,L,Alvarez,,8935 Etcheverry Dr.,,Newark-7101-New Jersey,2/11/77,Partial High School,Clerical,M,S,0,2,0,0,64633,69,0
11141,,Nicole,,Ramirez,,1101 C Street,,Miami-33101-Florida,6/21/77,High School,Skilled Manual,F,M,0,2,0,0,32916,43,0
11142,,Eduardo,,Patterson,,6255 Macalvey Dr.,,Minneapolis-55401-Minnesota,8/14/77,High School,Skilled Manual,M,S,0,2,0,0,63488,73,1
11143,,Jonathan,M,Henderson,,165 East Lane Road,,San Diego-92101-California,2/4/77,High School,Skilled Manual,M,M,1,2,0,0,43666,70,0
11144,,Edward,,Hernandez,,7607 Pine Hollow Road,,New York-10001-New York,9/9/79,High School,Skilled Manual,M,S,0,2,0,0,54938,64,0
11145,,Jasmine,L,Coleman,,1961 Oak Grove Road,,Baltimore-21201-Maryland,12/8/79,High School,Skilled Manual,F,S,0,2,0,0,29691,37,0
11146,,Karla,L,Goel,,3272 Corrie Lane,,San Antonio-78201-Texas,8/26/39,Bachelors,Management,F,S,1,2,0,2,66934,47,0
11147,,Ernest,L,Wu,,1832 RiverRock Dr,,Tucson-85701-Arizona,2/5/39,Graduate Degree,Management,M,M,1,1,0,2,124211,78,0
11148,,Ross,,Vazquez,,1201 Paso Del Rio Way,,Houston-77001-Texas,8/16/41,Bachelors,Management,M,M,1,2,0,2,63251,67,0
11149,,Theodore,,Gill,,9120 Pinewood Court,,Irvine-92602-California,4/20/41,Bachelors,Management,M,M,1,2,0,2,82448,71,0
11150,,Russell,M,Shen,,4755 Easley Drive,,Dallas-75201-Texas,3/15/41,Bachelors,Management,M,S,1,2,0,2,77855,69,0
11151,,Melinda,G,Gill,,805 Rainier Dr.,,Tucson-85701-Arizona,2/25/42,Graduate Degree,Management,F,S,0,1,0,2,94385,46,0
11152,,James,J,Williams,,6827 Seagull Court,,Atlanta-30301-Georgia,1/10/76,High School,Skilled Manual,M,S,1,2,0,0,62553,72,1
11153,,Angela,R,James,,8877 Weatherly Drive,,Stockton-95201-California,6/23/76,High School,Skilled Manual,F,M,1,2,0,0,37229,42,0
11154,,Megan,G,Walker,,6898 Holiday Hills,,Long Beach-90801-California,8/21/76,Partial College,Skilled Manual,F,S,1,1,0,0,33375,38,0
11155,,Hunter,J,Robinson,,8356 Mori Court,,Louisville-40201-Kentucky,1/26/76,Partial College,Skilled Manual,M,S,0,1,0,0,60713,68,1
11157,,Hannah,E,Long,,1832 Preston Ct.,,Orlando-32801-Florida,6/11/75,High School,Skilled Manual,F,M,1,2,0,0,45639,50,0
11158,,Jason,K,Wright,,6771 Bundros Court,,Columbus-43085-Ohio,10/8/75,High School,Skilled Manual,M,S,1,2,0,0,57274,65,0
11159,,Brianna,A,Hughes,,6793 Bonifacio St.,,Durham-27701-North Carolina,9/17/75,High School,Skilled Manual,F,S,0,2,0,0,32033,40,0
11160,,Maurice,M,Tang,,2886 Chaparral Court,Space # 45,Long Beach-90801-California,1/8/74,Partial College,Skilled Manual,M,S,0,1,0,0,54434,69,0
11161,,Emily,,Wood,,1562 Black Walnut,,Newark-7101-New Jersey,4/22/74,Partial College,Skilled Manual,F,S,0,1,0,0,46024,44,1
11163,,Gabriel,,Wang,,8002 Crane Court,,Milwaukee-53201-Wisconsin,12/20/74,Partial College,Skilled Manual,M,M,1,1,0,0,56829,66,0
11164,,Devin,,Brooks,,4231 Highland Dr.,,Seattle-98101-Washington,5/5/74,Partial College,Skilled Manual,M,S,0,1,0,0,48946,64,1
11165,,Jocelyn,,Alexander,,3376 Bank Way,,Atlanta-30301-Georgia,7/18/73,Partial College,Skilled Manual,F,M,0,1,0,0,89154,52,0
11166,,Ashley,,Martinez,,6993 Whyte Park Ave.,,Columbus-43085-Ohio,4/24/72,Partial College,Skilled Manual,F,S,0,2,0,0,70041,46,1
11169,,Bryce,,Richardson,,1841 Blackwood Drive,,Cleveland-44101-Ohio,6/22/68,Bachelors,Management,M,M,1,1,4,4,116323,141,1
11170,,Carol,T,Howard,,6281 Edward Ave,,Nashville-37201-Tennessee,2/5/68,Bachelors,Management,F,M,1,1,4,4,104668,91,1
11171,,Jonathan,E,Hill,,3731 Chinquapin Ct,,Oklahoma City-73101-Oklahoma,10/9/67,Bachelors,Management,M,S,1,2,0,1,128776,80,1
11172,,Gabrielle,J,Adams,,5621 Arcadia Pl.,,Stockton-95201-California,11/21/67,Bachelors,Management,F,M,1,2,0,1,97616,55,0
11173,,Sarah,F,Thomas,,5636 Mt. Whitney Dr.,,Jacksonville-32099-Florida,9/1/67,Graduate Degree,Management,F,S,0,4,0,0,151318,51,0
11174,,Nicholas,,Robinson,,1318 Lasalle Street,,San Diego-92101-California,7/13/67,Graduate Degree,Management,M,M,1,0,1,1,183231,109,1
11175,,Luis,,Wang,,6943 Patterson Blvd.,,Plano-75023-Texas,3/5/63,Partial College,Skilled Manual,M,S,1,2,0,0,98032,70,1
11176,,Mason,D,Roberts,,5753 Megan Dr.,,Aurora-80010-Colorado,1/25/68,Bachelors,Management,M,M,1,1,4,4,140875,148,1
11177,,Jose,M,Flores,,3991 Rambling Rose Drive,,Fort Worth-76101-Texas,7/4/42,Graduate Degree,Management,M,M,1,2,4,4,185657,144,1
11179,,Molly,E,Rodriguez,,5556 Riverland Dr.,,Detroit-48201-Michigan,6/14/43,Graduate Degree,Management,F,M,1,3,4,4,141844,91,0
11180,,April,,Anand,,3531 Brookview Drive,,San Diego-92101-California,1/2/43,Bachelors,Management,F,M,1,4,3,3,145176,73,1
11181,,Devin,P,Martin,,1085 Greenbelt Way,Unit B-105,Fort Worth-76101-Texas,8/8/43,Graduate Degree,Management,M,M,1,2,3,3,184504,126,0
11182,,Stephanie,,Torres,,6968 Mildred Ln.,,Miami-33101-Florida,8/25/44,Bachelors,Management,F,S,1,2,0,4,80891,39,0
11183,,Jasmine,W,Lee,,7502 Contuti Avenue,,Lincoln-68501-Nebraska,7/15/44,Bachelors,Management,F,S,1,2,0,4,90366,51,1
11184,,Meghan,,Hernandez,,5872 L St.,,Cleveland-44101-Ohio,11/16/44,Bachelors,Management,F,S,1,2,0,4,91037,42,0
11185,,Ashley,,Henderson,,8834 San Jose Ave.,,Colorado Springs-80901-Colorado,10/8/44,Bachelors,Management,F,S,1,2,0,4,83404,48,0
11186,,Sarah,C,Price,,4815 Paraiso Ct.,,Irvine-92602-California,5/21/44,Bachelors,Management,F,S,1,2,0,4,79819,46,0
11187,,Jennifer,S,Cooper,,2429 Longview Road,,Minneapolis-55401-Minnesota,2/22/44,Graduate Degree,Management,F,M,1,2,0,4,85829,49,0
11188,,Catherine,,Morris,,6542 Stonewood Drive,,Seattle-98101-Washington,9/6/44,Graduate Degree,Management,F,M,0,2,0,4,104279,52,0
11189,,Lawrence,W,Blanco,,7502 Contuti Avenue,,Pittsburgh-15201-Pennsylvania,7/15/44,Graduate Degree,Management,M,S,1,2,0,4,121950,75,0
11190,,Carson,,Bryant,,2995 Youngsdale Dr.,,Nashville-37201-Tennessee,6/22/44,Bachelors,Management,M,M,1,2,0,5,95877,77,0
11191,,Kristi,E,Perez,,1769 Lislin Ct,,Kansas City-64101-Missouri,12/18/45,Bachelors,Management,F,S,1,3,0,5,80055,47,0
11192,,James,C,Brown,,673 Old Mountain View Dr.,,Riverside-92501-California,9/13/45,Bachelors,Management,M,M,1,2,0,4,112289,79,0
11193,,Ian,A,Gray,,5941 Gill Dr.,,Corpus Christi-78401-Texas,2/13/45,Bachelors,Management,M,M,1,2,0,4,111071,73,0
11194,,Jacqueline,R,Price,,872 Mark Twain Dr,,Corpus Christi-78401-Texas,6/10/45,Bachelors,Management,F,M,1,2,0,4,89692,51,0
11195,,Megan,,Henderson,,8411 Mt. Olivet Place,,Cincinnati-45201-Ohio,2/10/46,Bachelors,Management,F,M,1,3,0,5,86347,52,0
11196,,Alfredo,,Romero,,2499 Greendell Pl,,Lincoln-68501-Nebraska,6/7/46,Bachelors,Management,M,M,1,3,0,5,96935,75,0
11197,,Andrea,,Morris,,1883 Green View Court,,Fort Worth-76101-Texas,6/18/46,Bachelors,Management,F,M,0,1,1,3,86749,57,1
11198,,Brooke,,Sanders,,5192 Dumbarton Drive,,Cincinnati-45201-Ohio,11/26/46,Bachelors,Management,F,S,1,1,1,4,84010,54,0
